
#################################################################
Log started at 2025-06-12_16-21-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 5a15, Got: 88c9
Checksum failed. Expected: 982b, Got: 8c5e
Checksum failed. Expected: f3e3, Got: 05b4
Checksum failed. Expected: 513e, Got: 01ad
Checksum failed. Expected: 46a6, Got: 121c
Checksum failed. Expected: 2e19, Got: 1650
Checksum failed. Expected: f1c6, Got: 9205
Checksum failed. Expected: 4832, Got: 0fc8
Checksum failed. Expected: 243b, Got: 8fdc
Checksum failed. Expected: dc4f, Got: 145a
Checksum failed. Expected: c619, Got: 1439
Checksum failed. Expected: 37ed, Got: 08e2
Checksum failed. Expected: 4158, Got: 05e8
Checksum failed. Expected: 412f, Got: 814e
Checksum failed. Expected: d63d, Got: 0488
Checksum failed. Expected: afc9, Got: 1084
Checksum failed. Expected: 9717, Got: 8d25
Checksum failed. Expected: 9b70, Got: 9094
Checksum failed. Expected: a4ce, Got: 4108
Checksum failed. Expected: 8b66, Got: 464c
Checksum failed. Expected: 4f73, Got: 48cd
Checksum failed. Expected: 61af, Got: 8c94
Checksum failed. Expected: aa31, Got: 4d2e
Checksum failed. Expected: e0ae, Got: 49ef
Checksum failed. Expected: 6e4c, Got: 0708
Checksum failed. Expected: 5dc0, Got: 436b
Checksum failed. Expected: 74ec, Got: 7aec
Checksum failed. Expected: bfe2, Got: 83c9
Checksum failed. Expected: 019a, Got: 88a5
Checksum failed. Expected: 2897, Got: 8cf8
Checksum failed. Expected: fa52, Got: 86f9
Checksum failed. Expected: 3fcd, Got: 8c24
Checksum failed. Expected: 8b5e, Got: 1c93
Checksum failed. Expected: 4bc3, Got: 0f48
Checksum failed. Expected: 14f8, Got: cf1a
Checksum failed. Expected: b934, Got: 9919
Checksum failed. Expected: 54a1, Got: 9409
Checksum failed. Expected: 669b, Got: 8bb2
Checksum failed. Expected: c946, Got: 089b
Checksum failed. Expected: ef38, Got: 05e5
Checksum failed. Expected: 2bbc, Got: 0124
Checksum failed. Expected: 2319, Got: 028f
Checksum failed. Expected: e206, Got: 9057
Checksum failed. Expected: 5589, Got: 93e4
Checksum failed. Expected: eb1f, Got: 129c
Checksum failed. Expected: ef88, Got: 8f6f
Checksum failed. Expected: b7ed, Got: 0de2
Checksum failed. Expected: c1c5, Got: 94c7
Checksum failed. Expected: c945, Got: 0eeb
Checksum failed. Expected: 5723, Got: 8bc2
Checksum failed. Expected: 1d39, Got: 0c42
Checksum failed. Expected: 0b69, Got: 951b
Checksum failed. Expected: bc44, Got: 1b19
Checksum failed. Expected: ebd1, Got: 9010
Checksum failed. Expected: c86a, Got: 063a
Checksum failed. Expected: c1f8, Got: 1405
Checksum failed. Expected: 744a, Got: 19d7
Checksum failed. Expected: 246c, Got: 9a89
Checksum failed. Expected: 600b, Got: 1637
Checksum failed. Expected: ec7d, Got: 96a7
Checksum failed. Expected: 72b8, Got: 831f
Checksum failed. Expected: 66a4, Got: 1092
Checksum failed. Expected: 9224, Got: 9b1b
Checksum failed. Expected: 3cd0, Got: 0dbc
Checksum failed. Expected: 19b4, Got: 1034
Checksum failed. Expected: 43c2, Got: 06d8
Checksum failed. Expected: 41f1, Got: 97e3
Checksum failed. Expected: 9eb8, Got: 14ae
Checksum failed. Expected: 996a, Got: 8607
Checksum failed. Expected: 32d6, Got: fea3
Checksum failed. Expected: 2097, Got: 0d91
Checksum failed. Expected: 3fbe, Got: 0e76
Checksum failed. Expected: e108, Got: 9058
Checksum failed. Expected: 3f80, Got: 0b68
